location,job_count,avg_min_salary,avg_max_salary,lowest_salary,highest_salary
"San Mateo, CA",24,183985,253968,51435,422210
"Foster City, CA",32,173896,234388,70000,426000
"Stockton, CA",13,159936,217687,66650,491086
"Rahway, NJ",23,135196,212804,83100,383300
"Mountain View, CA",44,144613,210588,67000,363000
"Santa Clara, CA",58,132627,205344,38094,417500
"Palo Alto, CA",44,148542,204815,64272,475000
"Sunnyvale, CA",72,133768,204524,70000,416000
"Culver City, CA",22,102180,203675,42210,500000
"San Jose, CA",162,131192,199289,43680,450000
"Alameda, CA",12,130532,196580,46000,344000
"Skillman, NJ",16,113900,194826,60000,276000
"Pleasanton, CA",18,121768,194437,52000,372700
"Bellevue, WA",54,123816,190484,35000,327700
"Greater Sacramento",10,131982,189638,50000,307500
"San Francisco Bay Area",109,137811,187948,20000,500000
"Burbank, CA",11,135470,185793,44322,422500
"Kirkland, WA",11,127159,184694,65000,337879
"Redmond, WA",40,107279,182355,40000,419750
"Reston, VA",30,123547,181996,49452,307000
